순번,변수,라벨,문항그룹,유형,결측률(%),고유값수,값설명,노트북사용
123,Q11A9,문11-1. 당일형 산림휴양.복지활동 참여활동,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),99.6,6,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",O
124,Q11A10,문11-1. 당일형 산림휴양.복지활동 참여활동,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),99.7,5,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",O
125,Q11A11,문11-1. 당일형 산림휴양.복지활동 참여활동,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),99.8,4,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",O
126,Q11A12,문11-1. 당일형 산림휴양.복지활동 참여활동,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),99.9,3,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",O
127,Q11A13,문11-1. 당일형 산림휴양.복지활동 참여활동,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),99.9,4,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",O
128,Q11A14,문11-1. 당일형 산림휴양.복지활동 참여활동,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),100.0,2,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",O
129,Q11A15,문11-1. 당일형 산림휴양.복지활동 참여활동,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),100.0,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",O
130,Q11_2_1A1,문11-2-1. 당일형 산림휴양.복지활동 방문시기(시기),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),46.5,12,1=1월; 2=2월; 3=3월; 4=4월; 5=5월; 6=6월; 7=7월; 8=8월; 9=9월; 10=10월; 11=11월; 12=12월,O
131,Q11_2_2A1,문11-2-2. 당일형 산림휴양.복지활동 방문시기(주간),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),46.5,3,1=주중; 2=주말; 3=공휴일(휴가 포함),O
132,Q11_3A1,문11-3. 당일형 산림휴양.복지활동 방문지역,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),46.5,220,11010=서울 종로구; 11020=서울 중구; 11030=서울 용산구; 11040=서울 성동구; 11050=서울 광진구; 11060=서울 동대문구; 11070=서울 중랑구; 11080=서울 성북구; 11090=서울 강북구; 11100=서울 도봉구; 11110=서울 노원구; 11120=서울 은평구; 11130=서울 서대문구; 11140=서울 마포구; 11150=서울 양천구; 11160=서울 강서구; 11170=서울 구로구; 11180=서울 금천구; 11190=서울 영등포구; 11200=서울 동작구; 11210=서울 관악구; 11220=서울 서초구; 11230=서울 강남구; 11240=서울 송파구; 11250=서울 강동구; 21010=부산 중구; 21020=부산 서구; 21030=부산 동구; 21040=부산 영도구; 21050=부산 부산진구; …=외 231개,O
133,Q11_4A1,문11-4. 지역 선택 이유,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),46.5,8,"1=수려한 자연경관; 2=이동 및 교통의 편의성; 3=시설의 편리성, 쾌적성; 4=저렴한 여행경비; 5=다양한 볼거리, 즐길거리, 먹거리; 6=주변 관광지와의 연계성; 7=교육성(교육적 측면); 8=기타",O
134,Q11_4A1_ETC,문11-4. 지역 선택 이유_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,99.9,6,부모님선택 / 동호회 / 고사리채취,O
135,Q11_5A1,문11-5. 당일 일정 횟수,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,46.5,11,범위 1~13,O
136,Q11_6A1,문11-6. 동반유형,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),46.5,7,"1=혼자; 2=가족(부모, 배우자, 자녀, 형제); 3=친척; 4=친구/연인; 5=(직장)동료; 6=친목단체/모임(동호회, 종교단체 등); 7=학교 단체(소풍, 수학여행 등); 8=기타",O
137,Q11_6A1_ETC,문11-6. 동반유형_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),삭제됨(전량결측),100.0,0,,O
138,Q11_7A1,문11-7. 방문목적,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),46.5,7,"1=휴양 및 휴식을 취하기 위해; 2=건강 증진을 위해; 3=질병 치유를 위해; 4=교육, 학습을 위해; 5=취미 및 레포츠 활동을 위해; 6=친목 활동을 위해; 7=기타",O
139,Q11_7A1_ETC,문11-7. 방문목적_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,99.9,3,가족여행 / 실향민으로 고향생각이 나서 / 나물 채취,O
140,Q11_8A1,문11-8. 1회 기준 1인 평균 소비금액,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,46.5,23,범위 0~30,O
141,Q11_2_1A2,문11-2-1. 당일형 산림휴양.복지활동 방문시기(시기),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),58.0,12,1=1월; 2=2월; 3=3월; 4=4월; 5=5월; 6=6월; 7=7월; 8=8월; 9=9월; 10=10월; 11=11월; 12=12월,O
142,Q11_2_2A2,문11-2-2. 당일형 산림휴양.복지활동 방문시기(주간),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),58.0,3,1=주중; 2=주말; 3=공휴일(휴가 포함),O
143,Q11_3A2,문11-3. 당일형 산림휴양.복지활동 방문지역,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),58.0,222,11010=서울 종로구; 11020=서울 중구; 11030=서울 용산구; 11040=서울 성동구; 11050=서울 광진구; 11060=서울 동대문구; 11070=서울 중랑구; 11080=서울 성북구; 11090=서울 강북구; 11100=서울 도봉구; 11110=서울 노원구; 11120=서울 은평구; 11130=서울 서대문구; 11140=서울 마포구; 11150=서울 양천구; 11160=서울 강서구; 11170=서울 구로구; 11180=서울 금천구; 11190=서울 영등포구; 11200=서울 동작구; 11210=서울 관악구; 11220=서울 서초구; 11230=서울 강남구; 11240=서울 송파구; 11250=서울 강동구; 21010=부산 중구; 21020=부산 서구; 21030=부산 동구; 21040=부산 영도구; 21050=부산 부산진구; …=외 231개,O
144,Q11_4A2,문11-4. 지역 선택 이유,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),58.0,8,"1=수려한 자연경관; 2=이동 및 교통의 편의성; 3=시설의 편리성, 쾌적성; 4=저렴한 여행경비; 5=다양한 볼거리, 즐길거리, 먹거리; 6=주변 관광지와의 연계성; 7=교육성(교육적 측면); 8=기타",O
145,Q11_4A2_ETC,문11-4. 지역 선택 이유_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,3,부모님선택 / 동호회 / 자연숲길,O
146,Q11_5A2,문11-5. 당일 일정 횟수,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,58.0,11,범위 1~15,O
147,Q11_6A2,문11-6. 동반유형,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),58.0,7,"1=혼자; 2=가족(부모, 배우자, 자녀, 형제); 3=친척; 4=친구/연인; 5=(직장)동료; 6=친목단체/모임(동호회, 종교단체 등); 7=학교 단체(소풍, 수학여행 등); 8=기타",O
148,Q11_6A2_ETC,문11-6. 동반유형_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),삭제됨(전량결측),100.0,0,,O
149,Q11_7A2,문11-7. 방문목적,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),58.0,7,"1=휴양 및 휴식을 취하기 위해; 2=건강 증진을 위해; 3=질병 치유를 위해; 4=교육, 학습을 위해; 5=취미 및 레포츠 활동을 위해; 6=친목 활동을 위해; 7=기타",O
150,Q11_7A2_ETC,문11-7. 방문목적_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,3,가족여행 / 실향민으로 고향생각이 나서 / 반려견외출,O
151,Q11_8A2,문11-8. 1회 기준 1인 평균 소비금액,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,58.0,26,범위 0~68,O
152,Q11_2_1A3,문11-2-1. 당일형 산림휴양.복지활동 방문시기(시기),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),75.7,11,1=1월; 2=2월; 3=3월; 4=4월; 5=5월; 6=6월; 7=7월; 8=8월; 9=9월; 10=10월; 11=11월; 12=12월,O
153,Q11_2_2A3,문11-2-2. 당일형 산림휴양.복지활동 방문시기(주간),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),75.7,3,1=주중; 2=주말; 3=공휴일(휴가 포함),O
154,Q11_3A3,문11-3. 당일형 산림휴양.복지활동 방문지역,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),75.7,209,11010=서울 종로구; 11020=서울 중구; 11030=서울 용산구; 11040=서울 성동구; 11050=서울 광진구; 11060=서울 동대문구; 11070=서울 중랑구; 11080=서울 성북구; 11090=서울 강북구; 11100=서울 도봉구; 11110=서울 노원구; 11120=서울 은평구; 11130=서울 서대문구; 11140=서울 마포구; 11150=서울 양천구; 11160=서울 강서구; 11170=서울 구로구; 11180=서울 금천구; 11190=서울 영등포구; 11200=서울 동작구; 11210=서울 관악구; 11220=서울 서초구; 11230=서울 강남구; 11240=서울 송파구; 11250=서울 강동구; 21010=부산 중구; 21020=부산 서구; 21030=부산 동구; 21040=부산 영도구; 21050=부산 부산진구; …=외 231개,O
155,Q11_4A3,문11-4. 지역 선택 이유,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),75.7,8,"1=수려한 자연경관; 2=이동 및 교통의 편의성; 3=시설의 편리성, 쾌적성; 4=저렴한 여행경비; 5=다양한 볼거리, 즐길거리, 먹거리; 6=주변 관광지와의 연계성; 7=교육성(교육적 측면); 8=기타",O
156,Q11_4A3_ETC,문11-4. 지역 선택 이유_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,3,부모님선택 / 동호회 / 자연숲길,O
157,Q11_5A3,문11-5. 당일 일정 횟수,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,75.7,10,범위 1~21,O
158,Q11_6A3,문11-6. 동반유형,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),75.7,7,"1=혼자; 2=가족(부모, 배우자, 자녀, 형제); 3=친척; 4=친구/연인; 5=(직장)동료; 6=친목단체/모임(동호회, 종교단체 등); 7=학교 단체(소풍, 수학여행 등); 8=기타",O
159,Q11_6A3_ETC,문11-6. 동반유형_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),삭제됨(전량결측),100.0,0,,O
160,Q11_7A3,문11-7. 방문목적,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),75.7,7,"1=휴양 및 휴식을 취하기 위해; 2=건강 증진을 위해; 3=질병 치유를 위해; 4=교육, 학습을 위해; 5=취미 및 레포츠 활동을 위해; 6=친목 활동을 위해; 7=기타",O
161,Q11_7A3_ETC,문11-7. 방문목적_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,3,가족여행 / 실향민으로 고향생각이 나서 / 산나물채취,O
162,Q11_8A3,문11-8. 1회 기준 1인 평균 소비금액,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,75.7,24,범위 0~40,O
163,Q11_2_1A4,문11-2-1. 당일형 산림휴양.복지활동 방문시기(시기),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),88.5,11,1=1월; 2=2월; 3=3월; 4=4월; 5=5월; 6=6월; 7=7월; 8=8월; 9=9월; 10=10월; 11=11월; 12=12월,O
164,Q11_2_2A4,문11-2-2. 당일형 산림휴양.복지활동 방문시기(주간),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),88.5,3,1=주중; 2=주말; 3=공휴일(휴가 포함),O
165,Q11_3A4,문11-3. 당일형 산림휴양.복지활동 방문지역,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),88.5,181,11010=서울 종로구; 11020=서울 중구; 11030=서울 용산구; 11040=서울 성동구; 11050=서울 광진구; 11060=서울 동대문구; 11070=서울 중랑구; 11080=서울 성북구; 11090=서울 강북구; 11100=서울 도봉구; 11110=서울 노원구; 11120=서울 은평구; 11130=서울 서대문구; 11140=서울 마포구; 11150=서울 양천구; 11160=서울 강서구; 11170=서울 구로구; 11180=서울 금천구; 11190=서울 영등포구; 11200=서울 동작구; 11210=서울 관악구; 11220=서울 서초구; 11230=서울 강남구; 11240=서울 송파구; 11250=서울 강동구; 21010=부산 중구; 21020=부산 서구; 21030=부산 동구; 21040=부산 영도구; 21050=부산 부산진구; …=외 231개,O
166,Q11_4A4,문11-4. 지역 선택 이유,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),88.5,8,"1=수려한 자연경관; 2=이동 및 교통의 편의성; 3=시설의 편리성, 쾌적성; 4=저렴한 여행경비; 5=다양한 볼거리, 즐길거리, 먹거리; 6=주변 관광지와의 연계성; 7=교육성(교육적 측면); 8=기타",O
167,Q11_4A4_ETC,문11-4. 지역 선택 이유_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,3,부모님결정 / 동호회 / 친목,O
168,Q11_5A4,문11-5. 당일 일정 횟수,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,88.5,11,범위 1~25,O
169,Q11_6A4,문11-6. 동반유형,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),88.5,8,"1=혼자; 2=가족(부모, 배우자, 자녀, 형제); 3=친척; 4=친구/연인; 5=(직장)동료; 6=친목단체/모임(동호회, 종교단체 등); 7=학교 단체(소풍, 수학여행 등); 8=기타",O
170,Q11_6A4_ETC,문11-6. 동반유형_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,1,회사,O
171,Q11_7A4,문11-7. 방문목적,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),88.5,7,"1=휴양 및 휴식을 취하기 위해; 2=건강 증진을 위해; 3=질병 치유를 위해; 4=교육, 학습을 위해; 5=취미 및 레포츠 활동을 위해; 6=친목 활동을 위해; 7=기타",O
172,Q11_7A4_ETC,문11-7. 방문목적_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,2,가족여행 / 실향민으로 고향생각이 나서,O
173,Q11_8A4,문11-8. 1회 기준 1인 평균 소비금액,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,88.5,19,범위 0~25,O
174,Q11_2_1A5,문11-2-1. 당일형 산림휴양.복지활동 방문시기(시기),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),95.1,10,1=1월; 2=2월; 3=3월; 4=4월; 5=5월; 6=6월; 7=7월; 8=8월; 9=9월; 10=10월; 11=11월; 12=12월,O
175,Q11_2_2A5,문11-2-2. 당일형 산림휴양.복지활동 방문시기(주간),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),95.1,3,1=주중; 2=주말; 3=공휴일(휴가 포함),O
176,Q11_3A5,문11-3. 당일형 산림휴양.복지활동 방문지역,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),95.1,146,11010=서울 종로구; 11020=서울 중구; 11030=서울 용산구; 11040=서울 성동구; 11050=서울 광진구; 11060=서울 동대문구; 11070=서울 중랑구; 11080=서울 성북구; 11090=서울 강북구; 11100=서울 도봉구; 11110=서울 노원구; 11120=서울 은평구; 11130=서울 서대문구; 11140=서울 마포구; 11150=서울 양천구; 11160=서울 강서구; 11170=서울 구로구; 11180=서울 금천구; 11190=서울 영등포구; 11200=서울 동작구; 11210=서울 관악구; 11220=서울 서초구; 11230=서울 강남구; 11240=서울 송파구; 11250=서울 강동구; 21010=부산 중구; 21020=부산 서구; 21030=부산 동구; 21040=부산 영도구; 21050=부산 부산진구; …=외 231개,O
177,Q11_4A5,문11-4. 지역 선택 이유,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),95.1,8,"1=수려한 자연경관; 2=이동 및 교통의 편의성; 3=시설의 편리성, 쾌적성; 4=저렴한 여행경비; 5=다양한 볼거리, 즐길거리, 먹거리; 6=주변 관광지와의 연계성; 7=교육성(교육적 측면); 8=기타",O
178,Q11_4A5_ETC,문11-4. 지역 선택 이유_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,3,부모님결정 / 동호회 / 친목,O
179,Q11_5A5,문11-5. 당일 일정 횟수,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,95.1,8,범위 1~20,O
180,Q11_6A5,문11-6. 동반유형,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),95.1,6,"1=혼자; 2=가족(부모, 배우자, 자녀, 형제); 3=친척; 4=친구/연인; 5=(직장)동료; 6=친목단체/모임(동호회, 종교단체 등); 7=학교 단체(소풍, 수학여행 등); 8=기타",O
181,Q11_6A5_ETC,문11-6. 동반유형_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),삭제됨(전량결측),100.0,0,,O
182,Q11_7A5,문11-7. 방문목적,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),95.1,7,"1=휴양 및 휴식을 취하기 위해; 2=건강 증진을 위해; 3=질병 치유를 위해; 4=교육, 학습을 위해; 5=취미 및 레포츠 활동을 위해; 6=친목 활동을 위해; 7=기타",O
183,Q11_7A5_ETC,문11-7. 방문목적_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,1,가족여행,O
184,Q11_8A5,문11-8. 1회 기준 1인 평균 소비금액,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,95.1,18,범위 0~25,O
185,Q11_2_1A6,문11-2-1. 당일형 산림휴양.복지활동 방문시기(시기),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),97.8,11,1=1월; 2=2월; 3=3월; 4=4월; 5=5월; 6=6월; 7=7월; 8=8월; 9=9월; 10=10월; 11=11월; 12=12월,O
186,Q11_2_2A6,문11-2-2. 당일형 산림휴양.복지활동 방문시기(주간),Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),97.8,3,1=주중; 2=주말; 3=공휴일(휴가 포함),O
187,Q11_3A6,문11-3. 당일형 산림휴양.복지활동 방문지역,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),97.8,101,11010=서울 종로구; 11020=서울 중구; 11030=서울 용산구; 11040=서울 성동구; 11050=서울 광진구; 11060=서울 동대문구; 11070=서울 중랑구; 11080=서울 성북구; 11090=서울 강북구; 11100=서울 도봉구; 11110=서울 노원구; 11120=서울 은평구; 11130=서울 서대문구; 11140=서울 마포구; 11150=서울 양천구; 11160=서울 강서구; 11170=서울 구로구; 11180=서울 금천구; 11190=서울 영등포구; 11200=서울 동작구; 11210=서울 관악구; 11220=서울 서초구; 11230=서울 강남구; 11240=서울 송파구; 11250=서울 강동구; 21010=부산 중구; 21020=부산 서구; 21030=부산 동구; 21040=부산 영도구; 21050=부산 부산진구; …=외 231개,O
188,Q11_4A6,문11-4. 지역 선택 이유,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),97.8,8,"1=수려한 자연경관; 2=이동 및 교통의 편의성; 3=시설의 편리성, 쾌적성; 4=저렴한 여행경비; 5=다양한 볼거리, 즐길거리, 먹거리; 6=주변 관광지와의 연계성; 7=교육성(교육적 측면); 8=기타",O
189,Q11_4A6_ETC,문11-4. 지역 선택 이유_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,2,부모님결정 / 동호회,O
190,Q11_5A6,문11-5. 당일 일정 횟수,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),수치형,97.8,8,범위 1~18,O
191,Q11_6A6,문11-6. 동반유형,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),97.8,5,"1=혼자; 2=가족(부모, 배우자, 자녀, 형제); 3=친척; 4=친구/연인; 5=(직장)동료; 6=친목단체/모임(동호회, 종교단체 등); 7=학교 단체(소풍, 수학여행 등); 8=기타",O
192,Q11_6A6_ETC,문11-6. 동반유형_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),삭제됨(전량결측),100.0,0,,O
193,Q11_7A6,문11-7. 방문목적,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),범주형(코드),97.8,6,"1=휴양 및 휴식을 취하기 위해; 2=건강 증진을 위해; 3=질병 치유를 위해; 4=교육, 학습을 위해; 5=취미 및 레포츠 활동을 위해; 6=친목 활동을 위해; 7=기타",O
194,Q11_7A6_ETC,문11-7. 방문목적_기타내용,Q11. 당일형 방문기록 — 최대 15슬롯 (지역·횟수·동반·목적·소비),자유응답,100.0,1,가족여행,O
